episode,evaluation_episodes,opponent,win_rate,avg_self_score,avg_opponent_score,avg_score_diff,checkpoint_policy
5000,20,self,0.45,3.6,3.8,-0.19999999999999973,million_volts_ep5000
10000,20,self,1.0,5.0,0.0,5.0,million_volts_ep10000
15000,20,self,1.0,5.0,0.0,5.0,million_volts_ep15000
20000,20,self,1.0,5.0,0.0,5.0,million_volts_ep20000
25000,20,self,0.45,3.6,3.8,-0.19999999999999973,million_volts_ep25000
30000,20,self,1.0,5.0,0.0,5.0,million_volts_ep30000
