episode,evaluation_episodes,opponent,win_rate,avg_self_score,avg_opponent_score,avg_score_diff,checkpoint_policy
5000,20,rule,0.85,4.8,2.3,2.5,million_volts_ep5000
10000,20,rule,0.45,3.9,3.8,0.10000000000000009,million_volts_ep10000
15000,20,rule,0.05,1.8,4.85,-3.05,million_volts_ep15000
20000,20,rule,0.8,4.55,2.85,1.6999999999999997,million_volts_ep20000
25000,20,rule,0.2,2.6,4.5,-1.9,million_volts_ep25000
30000,20,rule,0.05,1.5,4.95,-3.45,million_volts_ep30000
