episode,evaluation_episodes,opponent,win_rate,avg_self_score,avg_opponent_score,avg_score_diff,checkpoint_policy
5000,20,rule,0.25,2.75,4.5,-1.75,million_volts_ep5000
10000,20,rule,0.3,3.2,4.3,-1.0999999999999996,million_volts_ep10000
15000,20,rule,0.05,2.15,4.9,-2.7500000000000004,million_volts_ep15000
20000,20,rule,0.2,2.6,4.25,-1.65,million_volts_ep20000
25000,20,rule,0.35,3.15,4.15,-1.0000000000000004,million_volts_ep25000
30000,20,rule,0.05,1.5,4.9,-3.4000000000000004,million_volts_ep30000
