episode,evaluation_episodes,opponent,win_rate,avg_self_score,avg_opponent_score,avg_score_diff,checkpoint_policy
5000,20,rule,0.35,3.05,4.25,-1.2000000000000002,million_volts_ep5000
10000,20,rule,0.35,3.65,4.35,-0.6999999999999997,million_volts_ep10000
15000,20,rule,0.0,0.0,5.0,-5.0,million_volts_ep15000
20000,20,rule,0.0,0.65,5.0,-4.35,million_volts_ep20000
25000,20,rule,0.1,2.65,4.6,-1.9499999999999997,million_volts_ep25000
30000,20,rule,0.0,1.4,5.0,-3.6,million_volts_ep30000
