episode,evaluation_episodes,opponent,win_rate,avg_self_score,avg_opponent_score,avg_score_diff,checkpoint_policy
5000,20,rule,0.5,3.65,3.65,0.0,million_volts_ep5000
10000,20,rule,0.1,1.5,4.8,-3.3,million_volts_ep10000
15000,20,rule,0.95,4.85,1.45,3.3999999999999995,million_volts_ep15000
20000,20,rule,0.0,1.1,5.0,-3.9,million_volts_ep20000
25000,20,rule,0.25,2.45,4.65,-2.2,million_volts_ep25000
30000,20,rule,0.1,0.7,1.7,-1.0,million_volts_ep30000
